sector,counterpart_name,counterpart_country,collab_type,year
High-Performance Computing,EuroHPC LEONARDO,IT,infrastructure,2024
High-Performance Computing,EuroCC Slovenia (SLING),SI,co-project,2024
High-Performance Computing,Vienna Scientific Cluster (VSC),AT,infrastructure,2024
AI,University of Tübingen,DE,co-publication,2023
AI,Max Planck Institute (Tübingen),DE,co-publication,2023
AI,VIB-NERF,BE,co-publication,2023
AI,imec,BE,co-publication,2023
AI,Neural Magic,US,co-publication,2022
AI,University of Oxford,GB,co-project (competition),2023
AI,University of Texas at Austin,US,co-publication,2024
AI,Carnegie Mellon University,US,co-publication,2024
AI,University of Chicago,US,co-publication,2024